質量|ㄓˋ ㄌㄧㄤˋ|quality; (physics) mass; CL:個/个[ge4].
知道|ㄓ ㄉㄠˋ|to know; to become aware of; also pr. [zhi1 dao5].
紙|ㄓˇ|paper; CL:張/张[zhang1],沓[da2]; classifier for documents, letter etc.
只|ㄓˇ|only; merely; just; but.
正在|ㄓㄥˋ ㄗㄞˋ|just at (that time); right in (that place); right in the middle of (doing sth).
整|ㄓㄥˇ|exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb.
珍珠奶茶|ㄓㄣ ㄓㄨ ㄋㄞˇ ㄔㄚˊ|pearl milk tea; tapioca milk tea; bubble milk tea.
真|ㄓㄣ|really; truly; indeed; real; true; genuine.
這裡|ㄓㄜˋ ㄌㄧˇ|here.
這|ㄓㄜˋ|this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing).
照相機|ㄓㄠˋ ㄒㄧㄤˋ ㄐㄧ|camera; CL:個/个[ge4],架[jia4],部[bu4],台[tai2],隻/只[zhi1].
照片|ㄓㄠˋ ㄆㄧㄢˋ|photograph; picture; CL:張/张[zhang1],套[tao4],幅[fu2].
著急|ㄓㄠˊ ㄐㄧˊ|to worry; to feel anxious; to feel a sense of urgency; to be in a hurry; Taiwan pr. [zhao1 ji2].
照顧|ㄓㄠˋ ㄍㄨ˙|to take care of; to show consideration; to attend to; to look after.
找|ㄓㄠˇ|to try to find; to look for; to call on sb; to find; to seek; to return; to give change.
丈夫|ㄓㄤˋ ㄈㄨ˙|husband; CL:個/个[ge4].
張|ㄓㄤ|surname Zhang.
張|ㄓㄤ|to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes.
站|ㄓㄢˋ|station; to stand; to halt; to stop; branch of a company or organization; website.
宅男|ㄓㄞˊ ㄋㄢˊ|"a guy who stays at home all the time, typically spending a lot of time playing online games (derived from Japanese ""otaku"")."
怎麼樣|ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ|how?; how about?; how was it?; how are things?.
怎麼辦|ㄗㄣˇ ㄇㄜ˙ ㄅㄢˋ|what's to be done.
怎麼|ㄗㄣˇ ㄇㄜ˙|how?; what?; why?.
責任|ㄗㄜˊ ㄖㄣˋ|responsibility; blame; duty; CL:個/个[ge4].
